id,postcode,latitude,longitude,isInRightmove,codeRightmove
1,AB10,57.13514,-2.11731,,
2,AB11,57.13875,-2.09089,,
3,AB12,57.101,-2.1106,,
4,AB13,57.10801,-2.23776,,
5,AB14,57.10076,-2.27073,,
6,AB15,57.13868,-2.16525,,
7,AB16,57.16115,-2.15543,,
8,AB21,57.2096,-2.20033,,
9,AB22,57.18724,-2.11913,,
10,AB23,57.21242,-2.08776,,
11,AB24,57.16284,-2.11228,,
12,AB25,57.15311,-2.11241,,
13,AB30,56.84678,-2.47712,,
14,AB31,57.07479,-2.52623,,
15,AB32,57.15545,-2.31742,,
16,AB33,57.22464,-2.74203,,
17,AB34,57.09393,-2.81204,,
18,AB35,57.03829,-3.14869,,
19,AB36,57.19715,-3.06589,,
20,AB37,57.33098,-3.35051,,
21,AB38,57.48589,-3.2261,,
22,AB39,56.97778,-2.21718,,
23,AB41,57.37592,-2.10478,,
24,AB42,57.50079,-1.88819,,
25,AB43,57.65714,-2.04358,,
26,AB44,57.66877,-2.49122,,
27,AB45,57.65139,-2.56639,,
28,AB51,57.28907,-2.40485,,
29,AB52,57.34396,-2.60651,,
30,AB53,57.52537,-2.3941,,
31,AB54,57.45361,-2.76333,,
32,AB55,57.5239,-2.99024,,
33,AB56,57.67442,-2.92559,,
34,AL1,51.74836,-0.32237,,
35,AL10,51.75958,-0.2292,,
36,AL2,51.72064,-0.33353,,
37,AL3,51.77781,-0.37057,,
38,AL4,51.77133,-0.29398,,
39,AL5,51.81622,-0.35177,,
40,AL6,51.83104,-0.19737,,
41,AL7,51.79669,-0.18569,,
42,AL8,51.80334,-0.20863,,
43,AL9,51.74472,-0.19791,,
44,B1,52.47872,-1.90723,,
45,B10,52.46967,-1.8513,,
46,B11,52.4544,-1.85871,,
47,B12,52.45982,-1.88225,,
48,B13,52.43644,-1.8779,,
49,B14,52.41757,-1.88824,,
50,B15,52.46615,-1.92345,,
51,B16,52.47604,-1.93374,,
52,B17,52.46077,-1.96026,,
53,B18,52.49132,-1.92341,,
54,B19,52.4967,-1.90425,,
55,B2,52.47871,-1.89692,,
56,B20,52.51379,-1.91747,,
57,B21,52.50661,-1.93959,,
58,B23,52.52812,-1.85405,,
59,B24,52.51909,-1.82755,,
60,B25,52.46513,-1.8204,,
61,B26,52.46059,-1.78951,,
62,B27,52.44446,-1.82196,,
63,B28,52.4265,-1.84115,,
64,B29,52.43739,-1.94704,,
65,B3,52.48051,-1.90134,,
66,B30,52.42209,-1.92794,,
67,B31,52.40772,-1.97207,,
68,B32,52.44819,-1.99264,,
69,B33,52.48036,-1.78647,,
70,B34,52.49564,-1.78051,,
71,B35,52.51903,-1.78776,,
72,B36,52.50373,-1.77899,,
73,B37,52.47847,-1.74083,,
74,B38,52.39962,-1.93385,,
75,B4,52.48231,-1.89397,,
76,B40,52.45865,-1.72181,,
77,B42,52.53357,-1.91154,,
78,B43,52.54797,-1.92921,,
79,B44,52.54523,-1.88349,,
80,B45,52.38795,-2.00882,,
81,B46,52.50803,-1.69351,,
82,B47,52.38699,-1.8795,,
83,B48,52.35557,-1.9486,,
84,B49,52.21704,-1.86679,,
85,B5,52.46972,-1.89547,,
86,B50,52.16847,-1.85377,,
87,B6,52.50388,-1.88508,,
88,B60,52.3259,-2.04989,,
89,B61,52.34477,-2.06753,,
90,B62,52.45628,-2.03238,,
91,B63,52.45177,-2.06622,,
92,B64,52.47244,-2.06773,,
93,B65,52.48325,-2.04271,,
94,B66,52.49314,-1.96465,,
95,B67,52.48595,-1.97644,,
96,B68,52.47876,-2,,
97,B69,52.50213,-2.02799,,
98,B7,52.49307,-1.87185,,
99,B70,52.52012,-2.00295,,
100,B71,52.5354,-1.98968,,
101,B72,52.55145,-1.82153,,
102,B73,52.55238,-1.84217,,
103,B74,52.58297,-1.8583,,
104,B75,52.5784,-1.80813,,
105,B76,52.5451,-1.78616,,
106,B77,52.61855,-1.66762,,
107,B78,52.60598,-1.67362,,
108,B79,52.65005,-1.68069,,
109,B8,52.49034,-1.84092,,
110,B80,52.27641,-1.89593,,
111,B9,52.47776,-1.84833,,
112,B90,52.4004,-1.82361,,
113,B91,52.41382,-1.78238,,
114,B92,52.43628,-1.77345,,
115,B93,52.38048,-1.74288,,
116,B94,52.3509,-1.7915,,
117,B95,52.28524,-1.78008,,
118,B96,52.25217,-1.96044,,
119,B97,52.29893,-1.95454,,
120,B98,52.3034,-1.91346,,
121,BA1,51.39109,-2.35934,,
122,BA10,51.11291,-2.44576,,
123,BA11,51.23652,-2.32519,,
124,BA12,51.17117,-2.1874,,
125,BA13,51.26201,-2.17917,,
126,BA14,51.31863,-2.20092,,
127,BA15,51.35088,-2.26425,,
128,BA16,51.12489,-2.74313,,
129,BA2,51.35957,-2.37633,,
130,BA20,50.93753,-2.64193,,
131,BA21,50.95107,-2.63358,,
132,BA22,50.96814,-2.63666,,
133,BA3,51.27468,-2.47313,,
134,BA4,51.17102,-2.53073,,
135,BA5,51.21266,-2.65291,,
136,BA6,51.14042,-2.70478,,
137,BA7,51.08833,-2.51835,,
138,BA8,50.99883,-2.41046,,
139,BA9,51.05729,-2.40955,,
140,BB1,53.75625,-2.46265,,
141,BB10,53.79919,-2.21865,,
142,BB11,53.78294,-2.25196,,
143,BB12,53.80353,-2.29005,,
144,BB18,53.91433,-2.17053,,
